[1482, 9746, 9750, 9765]
[5674, 9747, 9753, 9764]
[3829, 9747, 9754, 9763]
[5505, 9747, 9749, 9760]
[5589, 9747, 9754, 9756]
[4490, 9746, 9751, 9774]
[5467, 9747, 9752, 9766]
[3114, 9747, 9754, 9767]
[2990, 9747, 9754, 9758]
[728, 9746, 9752, 9766]
[712, 9746, 9754, 9766]
[1163, 9747, 9754, 9767]
[4069, 9747, 9749, 9766]
[3848, 9747, 9752, 9755]
[3004, 9747, 9754, 9760]
[4363, 9746, 9752, 9755]
[2138, 9747, 9751, 9766]
[565, 9746, 9748, 9759]
[4966, 9747, 9750, 9765]
[1147, 9747, 9754, 9775]
[2096, 9747, 9748, 9764]
[454, 9747, 9748, 9763]
[1718, 9747, 9752, 9755]
[2137, 9746, 9754, 9760]
[1802, 9747, 9748, 9768]
[3357, 9747, 9754, 9760]
[2290, 9747, 9754, 9770]
[718, 9746, 9754, 9766]
[3503, 9747, 9752, 9760]
[131, 9746, 9752, 9760]
[2667, 9747, 9753, 9760]
[1871, 9746, 9754, 9755]
[1108, 9747, 9749, 9759]
[1583, 9746, 9748, 9755]
[5782, 9747, 9749, 9766]
[1115, 9747, 9754, 9759]
[2268, 9746, 9754, 9774]
[2198, 9746, 9748, 9768]
[5198, 9747, 9748, 9768]
[3657, 9747, 9749, 9755]
[3836, 9746, 9748, 9768]
[4032, 9747, 9754, 9772]
[5319, 9747, 9754, 9767]
[3396, 9747, 9749, 9758]
[1257, 9746, 9749, 9764]
[5920, 9747, 9748, 9762]
[1804, 9747, 9748, 9768]
[2020, 9747, 9754, 9768]
[1542, 9747, 9748, 9767]
[283, 9746, 9754, 9757]
[74, 9746, 9750, 9765]
[2235, 9747, 9748, 9768]
[4460, 9747, 9754, 9755]
[3348, 9747, 9751, 9766]
[4322, 9746, 9752, 9767]
[5361, 9747, 9752, 9756]
[2740, 9747, 9748, 9762]
[5098, 9747, 9754, 9757]
[2829, 9746, 9751, 9766]
[5342, 9747, 9751, 9766]
[1494, 9747, 9754, 9758]
[2124, 9746, 9752, 9759]
[3533, 9747, 9748, 9768]
[2709, 9747, 9748, 9766]
[459, 9747, 9752, 9767]
[691, 9747, 9754, 9761]
[3825, 9746, 9751, 9771]
[5463, 9747, 9748, 9768]
[4307, 9746, 9754, 9766]
[2424, 9747, 9748, 9768]
[3386, 9747, 9754, 9775]
[4549, 9746, 9749, 9755]
[5610, 9747, 9748, 9768]
[3921, 9747, 9752, 9775]
[4140, 9746, 9750, 9765]
[3965, 9747, 9752, 9760]
[1556, 9747, 9748, 9768]
[2835, 9746, 9749, 9766]
[4594, 9746, 9749, 9755]
[5543, 9747, 9753, 9766]
[337, 9746, 9754, 9755]
[5392, 9747, 9754, 9758]
[3708, 9746, 9754, 9757]
[3986, 9747, 9748, 9768]
[4805, 9747, 9748, 9768]
[2206, 9746, 9750, 9765]
[3105, 9747, 9754, 9775]
[5248, 9746, 9749, 9766]
[580, 9746, 9753, 9774]
[5283, 9747, 9753, 9769]
[3104, 9747, 9752, 9760]
[4515, 9746, 9748, 9768]
[4808, 9747, 9754, 9758]
[1072, 9747, 9754, 9758]
[2544, 9747, 9749, 9755]
[2118, 9746, 9754, 9764]
[3652, 9746, 9752, 9759]
[768, 9746, 9752, 9760]
[5675, 9746, 9750, 9765]
[4173, 9747, 9752, 9758]
[4614, 9746, 9748, 9759]
[2492, 9747, 9752, 9762]
[4149, 9747, 9749, 9760]
[3304, 9747, 9754, 9767]
[5043, 9747, 9749, 9767]
[1254, 9746, 9752, 9770]
[5452, 9747, 9749, 9761]
[4826, 9747, 9754, 9767]
[831, 9747, 9749, 9763]
[907, 9747, 9754, 9757]
[2933, 9747, 9752, 9763]
[1469, 9747, 9754, 9764]
[5271, 9747, 9748, 9767]
[3036, 9746, 9754, 9757]
[5662, 9747, 9754, 9758]
[4694, 9747, 9754, 9758]
[5030, 9747, 9754, 9758]
[1781, 9747, 9752, 9758]
[442, 9746, 9750, 9765]
[4786, 9747, 9754, 9770]
[5095, 9747, 9752, 9760]
[5614, 9746, 9748, 9768]
[1123, 9747, 9752, 9774]
[1416, 9747, 9753, 9760]
[6018, 9747, 9749, 9775]
[2216, 9747, 9748, 9774]
[5321, 9746, 9749, 9759]
[2176, 9747, 9753, 9773]
[972, 9747, 9754, 9770]
[4795, 9747, 9752, 9758]
[86, 9747, 9748, 9768]
[3500, 9747, 9754, 9758]
[4319, 9746, 9754, 9755]
[2621, 9747, 9754, 9755]
[4722, 9747, 9748, 9768]
[1010, 9747, 9748, 9757]
[4261, 9746, 9749, 9773]
[738, 9747, 9748, 9756]
[2866, 9746, 9754, 9756]
[1681, 9746, 9752, 9766]
[2044, 9747, 9752, 9769]
[5376, 9747, 9754, 9760]
[5764, 9747, 9748, 9759]
[5607, 9747, 9754, 9758]
[3669, 9747, 9748, 9768]
[3662, 9746, 9752, 9756]
[5869, 9747, 9748, 9768]
[2609, 9747, 9751, 9758]
[2863, 9747, 9754, 9766]
[5046, 9747, 9752, 9760]
[4230, 9746, 9754, 9756]
[4009, 9747, 9748, 9768]
[2285, 9747, 9750, 9765]
[627, 9747, 9751, 9756]
[1374, 9747, 9752, 9767]
[3435, 9746, 9749, 9760]
[4845, 9747, 9752, 9764]
[1142, 9747, 9753, 9760]
[827, 9746, 9749, 9755]
[3782, 9747, 9752, 9760]
[5439, 9747, 9749, 9764]
[2936, 9746, 9748, 9768]
[4973, 9747, 9748, 9768]
[717, 9746, 9753, 9769]
[5103, 9747, 9748, 9764]
[5881, 9747, 9748, 9768]
[5756, 9746, 9754, 9770]
[1674, 9746, 9751, 9755]
[1888, 9747, 9754, 9760]
[3085, 9747, 9754, 9770]
[4097, 9746, 9751, 9758]
[3231, 9747, 9754, 9759]
[1417, 9747, 9754, 9755]
[2024, 9747, 9754, 9764]
[2672, 9746, 9754, 9757]
[478, 9746, 9748, 9759]
[308, 9747, 9751, 9766]
[3049, 9747, 9753, 9758]
[5694, 9747, 9754, 9755]
[1537, 9747, 9749, 9767]
[4999, 9747, 9748, 9758]
[3018, 9747, 9748, 9768]
[4759, 9746, 9749, 9766]
[2961, 9746, 9754, 9755]
[5821, 9747, 9749, 9755]
[5258, 9747, 9748, 9771]
[5501, 9746, 9749, 9766]
[4164, 9747, 9753, 9764]
[1232, 9747, 9748, 9755]
[4881, 9747, 9754, 9758]
[5998, 9747, 9748, 9768]
[476, 9747, 9748, 9766]
[5154, 9746, 9749, 9763]
[5561, 9746, 9750, 9765]
[4661, 9747, 9754, 9767]
[5535, 9746, 9752, 9774]
[2655, 9747, 9748, 9775]
[615, 9747, 9754, 9767]
[3623, 9747, 9748, 9768]
[3567, 9746, 9748, 9768]
[3600, 9746, 9752, 9757]
[1576, 9747, 9748, 9768]
[2387, 9746, 9748, 9768]
[534, 9747, 9754, 9760]
[2255, 9747, 9752, 9767]
[1806, 9747, 9754, 9758]
[3734, 9747, 9754, 9767]
[4904, 9747, 9752, 9758]
[4240, 9747, 9752, 9766]
[4416, 9746, 9750, 9765]
[1528, 9747, 9749, 9758]
[2722, 9747, 9754, 9764]
[5144, 9746, 9748, 9768]
[4343, 9747, 9748, 9756]
[2496, 9747, 9752, 9775]
[3929, 9747, 9749, 9769]
[5474, 9747, 9748, 9768]
[456, 9747, 9752, 9775]
[4288, 9746, 9754, 9768]
[3071, 9747, 9754, 9767]
[3415, 9746, 9754, 9755]
[5940, 9747, 9754, 9766]
[4958, 9747, 9754, 9758]
[5101, 9746, 9748, 9768]
[2927, 9747, 9754, 9760]
[5719, 9747, 9752, 9766]
[5896, 9747, 9752, 9756]
[614, 9747, 9754, 9763]
[5883, 9747, 9748, 9765]
[1134, 9747, 9749, 9766]
[4811, 9747, 9754, 9759]
[5023, 9747, 9754, 9756]
[4879, 9746, 9749, 9756]
[645, 9747, 9752, 9760]
[1848, 9747, 9754, 9755]
[5572, 9747, 9754, 9771]
[513, 9747, 9754, 9773]
